text,label
What is cybersecurity?,other
How to cook pasta?,other
Who won the last cricket world cup?,other
What is the weather today?,other
Give me a motivational quote,other
Tell me a joke,other
Who invented the telephone?,other
Tell me a funny story,other
Tell me a funny story,other
How to start a business?,other
Write a poem about the moon,other
Explain blockchain technology,other
Tell me a funny story,other
Write a python program for sorting,other
Who won the last cricket world cup?,other
Write a poem about the moon,other
What is the meaning of life?,other
How to make pizza?,other
Tell me about history of India,other
hi,greeting
hello,greeting
hey,greeting
bye,greeting
suggest internships for me,recommendation
recommend internships,recommendation
what should I apply for,recommendation
based on my profile suggest internships,recommendation
suggest some internships,recommendation
internships suitable for me,recommendation
which internships should I apply for,recommendation
give me internship recommendations,recommendation
find internships for my profile,recommendation
what internships match my skills,recommendation
recommend some roles for me,recommendation
best internships for my background,recommendation
what opportunities should I apply to,recommendation
suggest opportunities for me,recommendation
which companies should I apply to for internships,recommendation
internship ideas for me,recommendation
what roles fit my profile,recommendation
can you suggest internships based on my resume,recommendation
what should I apply for as a student,recommendation
recommend career opportunities for me,recommendation
what internships are good for me,recommendation
suggest internships in my field,recommendation
help me choose internships,recommendation
what kind of internships should I look for,recommendation
recommend me some internships based on my skills,recommendation
which internship domain should I choose,recommendation
what are good internships for cse students,recommendation
suggest internships for beginners,recommendation
what internships can I get with my skills,recommendation
what is the best internship for a cse student,recommendation
which internship is best for beginners,recommendation
how do I choose the right internship,recommendation
what type of internship should I do,recommendation
which field internship should I go for,recommendation
what internships are in demand,recommendation
which internships have good career growth,recommendation
what internships should I do in second year,recommendation
what internships should I do in third year,recommendation
what are the best internships for freshers,recommendation
which internships are easy to get,recommendation
what internships pay the most,recommendation
which internships are good for placements,recommendation
what internships should I do for my resume,recommendation
which internships help in getting a job,recommendation
good morning,greeting
good evening,greeting
good afternoon,greeting
hey there,greeting
hi there,greeting
hello there,greeting
yo,greeting
hiya,greeting
heyy,greeting
hii,greeting
hello buddy,greeting
hey buddy,greeting
hi bot,greeting
hello assistant,greeting
hey assistant,greeting
greetings,greeting
what's up,greeting
sup,greeting
hey what's up,greeting
hi how are you,greeting
hello how are you,greeting
hey how's it going,greeting
nice to meet you,greeting
pleased to meet you,greeting
good to see you,greeting
suggest internships in ai,recommendation
recommend internships for cybersecurity,recommendation
what internships should I do as a beginner,recommendation
best internships for computer science students,recommendation
suggest internships for web development,recommendation
what internships are good for ai ml,recommendation
recommend internships for cloud computing,recommendation
what internships should I do for data science,recommendation
suggest internships for software engineering,recommendation
which internships are best for third year students,recommendation
what internships should I do for placements,recommendation
suggest internships for resume building,recommendation
what internships should I do in second year cse,recommendation
recommend internships for beginners in programming,recommendation
what internships can help me get a job,recommendation
suggest internships in blockchain,recommendation
what internships should I do for cybersecurity,recommendation
recommend internships in full stack development,recommendation
what internships are best for freshers in tech,recommendation
suggest internships based on my coding skills,recommendation
which internships should I target as a student,recommendation
what internships are best for skill development,recommendation
suggest internships for learning real world skills,recommendation
recommend internships in machine learning,recommendation
what internships should I choose for my career,recommendation
